EXT_CMPD_NUMBER,SMILES,Percentage_inhibition_3D7,Percentage_inhibition_DD2,Percentage_inhibition_3D7_PFLDH,XC50_MOD_3D7,XC50_3D7 (microM),Percentage_inhibition_HEPG2
TCMDC-133288,Fc1cccc(CNC(=O)Nc2cccc(c2)-c2ccc(cc2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)c1,98,20,-4,,0.766467681,50
TCMDC-133289,Cc1cccc2nc([nH]c12)-c1cccc(c1)-c1ccc(NC(=O)NCc2cccc(F)c2)cc1,101,83,-4,,0.23650136,40
TCMDC-133290,Fc1cccc(CNC(=O)Nc2cccc(c2)-c2cccc(c2)-c2nc3ccccc3[nH]2)c1,96,27,-1,,0.388772134,28
TCMDC-133291,Cc1cccc2nc([nH]c12)-c1cccc(c1)-c1cccc(NC(=O)NCc2cccc(F)c2)c1,98,32,-2,,0.452766085,11
TCMDC-133292,Fc1cccc(CNC(=O)Nc2cccc(c2)-c2cccc(c2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)c1,93,32,-7,,0.330469002,55
TCMDC-133293,Fc1cccc(CNC(=O)Nc2cccc(c2)-c2ccc(cc2)-c2nc3cc(F)ccc3[nH]2)c1,84,0,-3,,1.0541981,46
TCMDC-133294,Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1ccc(NC(=O)NCc2cccc(F)c2)cc1,97,12,7,,1.303932164,46
TCMDC-133295,Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1cccc(NC(=O)NCc2cccc(F)c2)c1,94,5,6,,0.852860321,27
TCMDC-133296,Fc1cccc(CNC(=O)Nc2ccc(cc2)-c2cccc(c2)-c2nc3cc(F)ccc3[nH]2)c1,88,2,7,,0.771604013,31
TCMDC-133297,Fc1cccc(CNC(=O)Nc2ccc(cc2)-c2cccc(c2)-c2nc3ccccc3[nH]2)c1,86,2,0,,0.893999906,14
TCMDC-133298,Fc1ccc(CNC(=O)Nc2ccc(cc2)-c2cccc(c2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)cc1,101,92,3,,0.946011623,41
TCMDC-133299,Fc1ccc(CNC(=O)Nc2ccc(cc2)-c2ccc(cc2)-c2nc3ccccc3[nH]2)cc1,101,98,4,,0.090696171,43
TCMDC-133300,Fc1ccc(CNC(=O)Nc2cccc(c2)-c2ccc(cc2)-c2nc3ccccc3[nH]2)cc1,101,49,2,,0.165138912,45
TCMDC-133301,Fc1ccc(CNC(=O)Nc2cccc(c2)-c2ccc(cc2)-c2nc3cc(F)ccc3[nH]2)cc1,101,96,-3,,0.226212539,7
TCMDC-133302,Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1ccc(NC(=O)NCc2ccc(F)cc2)cc1,100,99,-3,,1.330742541,70
TCMDC-133303,Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1cccc(NC(=O)NCc2ccc(F)cc2)c1,101,100,-1,,0.146010634,82
TCMDC-133304,Fc1ccc(CNC(=O)Nc2ccc(cc2)-c2cccc(c2)-c2nc3cc(F)ccc3[nH]2)cc1,100,99,-1,,1.123286157,31
TCMDC-133305,Cc1cccc(NC(=O)Nc2cccc(c2)-c2ccc(cc2)-c2nc3cc(ccc3[nH]2)C(F)(F)F)c1,101,94,-1,,0.904628702,44
TCMDC-125603,FC(F)(F)c1ccc(Nc2nnnc3ccccc23)cc1,90,82,-6,,0.692217217,3
TCMDC-125353,Cc1cc2nc([nH]c2cc1C)-c1ccc(SCC(=O)Nc2ccc3OCCOc3c2)nc1,85,6,9,,0.989203894,17
TCMDC-125352,Fc1ccc(cc1)-c1nn(-c2ccccc2)c2[nH]c(=O)c(CNC3CCCCC3)cc12,99,88,6,,0.804091652,8
TCMDC-125867,Fc1cccc(c1)-c1nn(-c2ccccc2)c2[nH]c(=O)c(CNC3CCCCC3)cc12,95,89,7,,0.945262601,6
TCMDC-125351,COc1ccc(CCNCc2cc3c(nn(-c4ccc(Cl)cc4)c3[nH]c2=O)C(C)(C)C)cc1OC,100,99,5,,0.147608406,13
TCMDC-125350,O=C(NC1CCCC1)c1cc2c(nc3ccccn3c2=O)[nH]c1=NCCc1ccccc1,101,61,2,,0.649058094,19
TCMDC-123825,CCC(c1nn2c(nnc2s1)-c1cccs1)c1ccccc1,97,95,-4,,0.166673378,10
TCMDC-125349,CN1CCN(CC1)c1ccc(nn1)-c1cccc(NC(=O)c2ccc3ccccc3c2)c1,94,26,-2,,0.383161931,17
TCMDC-123824,COc1ccc(c(OC)c1)-n1ccnc1SCC(=O)Nc1cc(C)ccc1C,94,93,-3,,0.204821785,2
TCMDC-125348,CN1CCN(CC1)c1ccc(nn1)-c1cccc(NC(=O)c2cccc(Cl)c2)c1,94,37,-2,,0.578918696,5
TCMDC-125347,COc1ccc(cc1OC)C1CC(=NN1C(=O)c1ccco1)c1ccccc1O,96,68,1,,0.947174692,11
TCMDC-125346,COc1ccc(NC(=O)CSc2nc(ns2)-c2ccccc2Cl)cc1OC,97,63,-2,,0.75933769,-1
TCMDC-125345,COc1cc(OC)cc(c1)C(=O)Nc1nc(cs1)-c1ccccn1,97,72,1,,0.560609601,47
TCMDC-125344,FC(F)(F)c1ccc(CSc2ccc3nnc(-c4ccccn4)n3n2)cc1,95,54,-1,,0.817359723,-2
TCMDC-133306,COc1ccc(Nc2nccc(n2)-c2ccc(NC(=O)c3cc4cc(F)ccc4[nH]3)cc2)cc1,91,26,-2,,0.629761969,21
TCMDC-133307,COc1ccc(Nc2nccc(n2)-c2cccc(NC(=O)c3cc4cc(F)ccc4[nH]3)c2)cc1,92,37,5,,1.031666124,3
TCMDC-133308,Cc1cc(=O)c(c(C)[nH]1)-c1ccc(Oc2cccc(c2)C(F)(F)F)cc1,96,95,-2,,0.628871478,8
TCMDC-125343,CCN(c1ccccc1)S(=O)(=O)c1ccc(OC)c(NC(=O)c2cccc(c2)C(F)(F)F)c1,90,70,-2,,0.880697071,9
TCMDC-125342,CN(CC(=O)Nc1ccc(F)cc1)C(=O)c1ccc(o1)-c1ccc(F)cc1,89,84,-2,,0.933787742,3
TCMDC-125341,O=C(Nc1ccc(cc1)C(=O)N(Cc1ccc2OCOc2c1)C1CCCC1)c1cccs1,97,95,4,,0.649801497,14
TCMDC-125340,CC1CCN(Cc2csc(NC(=O)c3cn4c(C)cccc4n3)n2)CC1,94,80,0,,0.757780742,-27
TCMDC-125339,O=C(Nc1ccc2ccccc2n1)c1ccccc1-c1ccccc1,90,83,0,,0.437675985,14
TCMDC-125338,CCN(C(=O)c1ccc(NC(=O)c2cccs2)cc1)c1nc2c(C)cccc2s1,89,85,-3,,0.850275141,24
TCMDC-125337,CC(=O)c1sc(Cc2nc3ccccc3s2)nc1C,94,88,1,,1.073982521,-13
TCMDC-125336,O=C(Nc1nc(cs1)-c1ccccn1)c1ccccc1COc1ccccc1,83,42,-2,,0.972484779,34
TCMDC-125335,CCCN(Cc1nnc(o1)-c1ccco1)C(=O)C1CCN(CC1)c1ncc(cc1Cl)C(F)(F)F,98,92,-6,,0.691085019,19
TCMDC-125334,CCCN(Cc1nnc(o1)-c1ccco1)C(=O)C1CCCN(C1)C(=O)c1ccc(Cl)cc1,96,96,-1,,0.517497469,-3
TCMDC-125333,CCCN(Cc1nnc(o1)-c1cccs1)C(=O)C1COc2ccccc2O1,87,49,0,,0.849740998,1
TCMDC-125332,CCN(CC)S(=O)(=O)c1ccc(cc1)C(C)NC(=O)c1ccccc1COc1ccccc1,100,89,4,,0.330430689,-3
TCMDC-125331,Clc1ccc(cc1)C(=O)N1CCCC(C1)C(=O)N(Cc1nnc(o1)-c1ccccc1Cl)C1CC1,95,96,0,,0.226769659,10
TCMDC-125330,NC(=O)c1ccsc1NC(=O)CNC(c1ccccc1)c1ccc(Cl)cc1,83,89,-3,,0.262408676,25
TCMDC-125329,CC(C)C(NC(=O)Cc1cccc2ccccc12)C(=O)Nc1cccc(c1)C#N,92,91,0,,0.655830713,-3
TCMDC-125328,CCCCn1c(N)c(N(Cc2ccco2)C(=O)C=Cc2cc(OC)c3OCCOc3c2)c(=O)[nH]c1=O,85,94,2,,0.945711939,4
TCMDC-125327,Clc1nc2ccccn2c1C=Cc1ccc2ccccc2n1,86,75,-6,,0.267493053,-31
TCMDC-133309,Cl.CCN(CCO)CCc1cccc(Nc2nccc(n2)-c2c(nn3ccccc23)-c2ccc(NC(=O)N(CC)CC)cc2)c1,101,95,2,,1.108605522,46
TCMDC-125326,Cc1c(C)c2c(OC3CCN(CC(=O)NCC4CC4)CC3)ncnc2n1Cc1ccccc1,92,79,-3,,1.124900788,17
TCMDC-133310,Cc1c(C)c2c(OC3CCN(CC(=O)NC4CC4)CC3)ncnc2n1C1CCCC1,95,92,-4,,0.789672727,13
TCMDC-133311,Cl.CCN(CCO)CCc1cccc(Nc2nccc(n2)-c2c(nn3ccccc23)-c2ccc(NC(=O)C(C)(C)C)cc2)c1,101,96,4,,0.713643492,62
TCMDC-125325,Cc1cc(-c2cc3nc4CCCCc4c(O)n3n2)c(C)o1,94,82,-4,,0.821266555,4
TCMDC-133312,OC(=O)C(F)(F)F.CCCCCc1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,87,23,3,,1.138822157,15
TCMDC-133313,OC(=O)C(F)(F)F.CCC(C)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,83,31,-2,,1.027300234,-6
TCMDC-133314,OC(=O)C(F)(F)F.CC(C)(C)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,95,33,-7,,0.751586057,-4
TCMDC-133315,OC(=O)C(F)(F)F.COC(=O)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,83,43,-1,,0.604864891,-1
TCMDC-133316,OC(=O)C(F)(F)F.Clc1c(cnn(Cc2ccc(NC(=O)Nc3cccc(Oc4ccccc4)c3)cc2)c1=O)N1CCCNCC1,81,41,-5,,0.986590637,8
TCMDC-133317,OC(=O)C(F)(F)F.Fc1cc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc(c1)C(F)(F)F,101,44,4,,0.767395441,35
TCMDC-133318,OC(=O)C(F)(F)F.CCCCCCCOc1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,87,28,2,,0.923429746,60
TCMDC-133319,OC(=O)C(F)(F)F.Clc1c(cnn(Cc2ccc(NC(=O)Nc3ccc(OCc4ccccc4)cc3)cc2)c1=O)N1CCCNCC1,90,32,5,,0.821648104,15
TCMDC-133320,OC(=O)C(F)(F)F.FC(F)(F)Sc1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,93,68,4,,0.52889194,9
TCMDC-133321,OC(=O)C(F)(F)F.FC(F)(F)Sc1cccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)c1,92,33,4,,0.675271517,12
TCMDC-133322,OC(=O)C(F)(F)F.Clc1c(cnn(Cc2ccc(NC(=O)Nc3ccc(I)cc3)cc2)c1=O)N1CCCNCC1,86,30,0,,1.118021658,35
TCMDC-133323,OC(=O)C(F)(F)F.CCCCOC(=O)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,92,74,2,,0.738894169,2
TCMDC-133324,OC(=O)C(F)(F)F.COC(=O)c1cc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc(c1)C(=O)OC,96,90,3,,0.707941863,-3
TCMDC-133325,OC(=O)C(F)(F)F.CC(C)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,85,27,2,,1.049295958,11
TCMDC-133326,OC(=O)C(F)(F)F.Clc1cc(Cl)cc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)c1,91,17,3,,0.866149687,3
TCMDC-133327,OC(=O)C(F)(F)F.FC(F)(F)c1cc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc(c1)C(F)(F)F,100,29,3,,0.588265915,25
TCMDC-133328,OC(=O)C(F)(F)F.FC(F)(F)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,90,58,4,,0.731292169,12
TCMDC-133329,OC(=O)C(F)(F)F.Clc1c(cnn(Cc2ccc(NC(=O)Nc3ccc(Br)cc3)cc2)c1=O)N1CCCNCC1,87,15,-1,,1.136825525,-7
TCMDC-133330,OC(=O)C(F)(F)F.CCOC(=O)c1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,88,58,2,,0.443165181,2
TCMDC-133331,OC(=O)C(F)(F)F.Clc1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,85,11,1,,0.783365732,49
TCMDC-133332,OC(=O)C(F)(F)F.Cc1ccc(NC(=O)Nc2ccc(Cn3ncc(N4CCCNCC4)c(Cl)c3=O)cc2)cc1,84,13,-1,,0.918074011,35
TCMDC-123808,Cc1nc(NC(N)=NC(=O)NC2CCCCC2)nc2ccccc12,95,99,-2,,0.791365731,21
TCMDC-125324,Oc1c(cc(Cl)c2cccnc12)C(Nc1ccccn1)c1ccco1,87,65,1,,1.010413507,41
TCMDC-125323,CCC(C(=O)Nc1cc(=O)[nH]c2nc(nn12)-c1ccco1)c1ccccc1,87,68,-1,,0.844383184,2
TCMDC-125322,Oc1ccc(Cl)cc1-c1cc([nH]n1)C(=O)Nc1cccnc1,98,85,6,,0.718707568,7
TCMDC-125321,CCc1ccc(O)c(c1)-c1cc([nH]n1)C(=O)Nc1cccnc1,98,99,-7,,0.689003584,-4
TCMDC-133333,OC(=O)C(F)(F)F.COc1ccc(cc1CN(C)C)-c1ccc(NC(=O)c2cccc(c2)C#N)cc1,103,10,0,,0.734604625,11
TCMDC-133334,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCC(O)CC1)-c1ccc(NC(=O)c2cccc(Cl)c2)cc1,102,12,-5,,0.71163848,15
TCMDC-133335,OC(=O)C(F)(F)F.COc1ccc(cc1CN(C)CCN(C)C)-c1ccc(NC(=O)c2cccc(Cl)c2)cc1,100,35,-3,,0.781989873,22
TCMDC-133336,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCN(C)CC1)-c1ccc(NC(=O)c2ccc(cc2)C#N)cc1,93,49,1,,0.721237564,21
TCMDC-133337,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCC(O)CC1)-c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,89,15,5,,1.090068514,20
TCMDC-133338,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCNCC1)-c1ccc(NC(=O)c2ccc(Cl)cc2)cc1,99,24,5,,0.129055592,14
TCMDC-125861,CN(C)c1ccc(C=C2SC(=N)N(C2=O)c2nccs2)cc1,97,50,2,,0.461418229,38
TCMDC-133339,OC(=O)C(F)(F)F.COc1ccc(cc1CN(C)CCN(C)C)-c1cccc(NC(=O)c2cccc(c2)C#N)c1,99,21,3,,0.314142106,-5
TCMDC-133340,OC(=O)C(F)(F)F.COc1ccc(cc1CNC(C)C)-c1cccc(NC(=O)c2cccc(Cl)c2)c1,102,8,-2,,0.721175189,15
TCMDC-133341,OC(=O)C(F)(F)F.COc1ccc(cc1CN(C)CCN(C)C)-c1cccc(NC(=O)c2ccc(cc2)C#N)c1,90,18,3,,0.074736109,14
TCMDC-125654,CC(=O)c1c(Nc2c(C)cc(C)cc2C)oc(C)cc1=O,95,83,7,,0.480557584,7
TCMDC-125582,CCCCn1c(C)c(C(=O)OCC)c2cc(OC(C)=O)c(Br)cc12,98,79,-1,,0.62547457,-8
TCMDC-125320,CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)c2ccc(c(c2)N(=O)=O)-n2ccnc2)c1,83,-8,2,,1.133788275,19
TCMDC-125581,FC(F)(F)c1cc(NC(=O)c2ccc(cc2)C(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)ccc1Cl,88,27,-2,,1.004172706,9
TCMDC-133342,COCc1cccc(c1)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O,98,88,-2,,1.001670982,10
TCMDC-133343,COc1cc(ccc1O)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O,97,97,-2,,0.101309395,37
TCMDC-125602,Clc1ccc(NC(=O)Nc2ccc3SC4=NCCN4c3c2)cc1,99,100,-1,,0.592111652,15
TCMDC-133344,CN1CCN(CC1)c1ccc(cc1)-c1cc(cnc1N)-c1cc(C)c(O)c(C)c1,101,99,-5,,1.171358373,3
TCMDC-133345,CN1CCN(CC1)c1ccc(cc1)-c1cc(cnc1N)-c1cc(F)c(F)c(F)c1,88,12,-4,,1.013246575,58
TCMDC-133346,CN1CCN(CC1)c1ccc(cn1)-c1cc(cnc1N)-c1cc(C)c(O)c(C)c1,91,33,7,,1.400583756,-12
TCMDC-133347,CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(c1)-c1cccc(O)c1,98,97,-3,,0.694790321,48
TCMDC-133348,CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(c1)-c1ccc(O)cc1,84,94,2,,1.356062906,38
TCMDC-133349,COc1ccc(cc1OC)-c1cnc(N)c(c1)-c1ccc(cc1)C(N)=O,96,98,4,,0.897191583,11
TCMDC-133350,COc1ccc(cn1)-c1cnc(N)c(c1)-c1ccc(O)c(OC)c1,97,98,-1,,0.875447213,23
TCMDC-133351,COc1ccc(cn1)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O,94,99,0,,0.186581191,5
TCMDC-133352,CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(c1)-c1cccc(CO)c1,98,51,0,,0.939408822,-4
TCMDC-125319,CN1C(=C)C(C)(C)c2cc(N)c(cc12)N(=O)=O,98,83,-2,,0.485602381,22
TCMDC-125318,Clc1ncnc2scc(-c3ccc(Br)cc3)c12,95,96,-2,,0.885805912,-3
TCMDC-125317,Fc1ccc(cc1)-c1csc2ncnc(Cl)c12,94,95,-1,,0.330848948,3
TCMDC-125316,COc1ccc(cc1OC)-c1csc2ncnc(Cl)c12,93,84,4,,0.769493288,-25
TCMDC-133353,Cl.CC1(C)CCNc2cc(NC(=O)c3ccc(cc3)-c3ncccc3C(F)(F)F)ccc12,97,86,-3,,0.90283463,7
TCMDC-133354,OC(=O)C(F)(F)F.Cc1noc(C)c1-c1cccc(c1)C(=O)NC1CCN(CCNC(=O)C(c2ccccc2)c2ccccc2)CC1,85,74,5,,1.219085003,27
TCMDC-133355,OC(=O)C(F)(F)F.Cc1cccc(c1)C(=O)NCCCN1CCC(CC1)NC(=O)\C=C\c1ccc(Cl)c(Cl)c1,98,23,1,,1.704679969,39
TCMDC-133356,OC(=O)C(F)(F)F.Clc1cccc(c1)C(=O)NCCCN1CCC(CC1)NC(=O)\C=C\c1ccc(Cl)c(Cl)c1,100,28,-2,,0.659145113,36
TCMDC-133357,OC(=O)C(F)(F)F.Clc1ccc(cc1Cl)C(=O)NCCCN1CCC(CC1)NC(=O)c1ccc(cc1)-c1cccnc1,94,23,-5,,0.854190018,17
TCMDC-125315,FC(F)(F)c1cccc(NC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)c1,99,99,-6,,0.889687406,-4
TCMDC-133358,CC(=O)Nc1ccc(OCCCCN(Cc2ccccc2C(F)(F)F)c2ccc(c(c2)C#N)C(F)(F)F)c(Cl)c1,96,96,-1,,0.545136425,14
TCMDC-133359,CCCC(=O)Nc1ccc(OCCCCN(Cc2ccccc2C(F)(F)F)c2ccc(c(c2)C#N)C(F)(F)F)cc1,94,94,0,,0.973259837,6
TCMDC-133360,OC(=O)C(F)(F)F.CN(C)CCN(C)Cc1cccc(c1)-c1cccc(NC(=O)c2cccc(c2)C#N)c1,92,10,-1,,0.872510654,-4
TCMDC-133361,OC(=O)C(F)(F)F.COc1cccc(c1)-c1ccc2ccnc(N)c2c1,101,93,0,,0.407772077,40
TCMDC-133362,O=C(NCCCCN1CCC(CC1)c1nc2ccccc2[nH]1)c1ccc(cc1)-c1ccc(cc1)C#N,92,13,4,,1.005913177,43
TCMDC-133363,OC(=O)C(F)(F)F.O=C(Nc1ccc(cc1)-c1ccccc1)Nc1cccc(Cn2cnc(cc2=O)N2CCCNCC2)c1,88,13,4,,1.075394035,8
TCMDC-133364,OC(=O)C(F)(F)F.NCCNS(=O)(=O)c1ccc(cc1)-c1ccnc2[nH]c(cc12)-c1ccncc1,96,95,3,,0.840323348,-10
TCMDC-133365,OC(=O)C(F)(F)F.CC1CN(CC(C)N1)c1cc(=O)n(Cc2cccc(NC(=O)Nc3ccc(cc3)-c3ccccc3)c2)cn1,101,63,-2,,0.395906967,2
TCMDC-125314,CCCc1ccc(cc1)-c1csc(NC(=O)c2ccc(o2)N(=O)=O)n1,85,13,4,,1.21,72
TCMDC-133366,OC(=O)C(F)(F)F.COc1ccc(cc1CN(C)CCN(C)C)-c1ccc(NC(=O)c2ccc(cc2)C#N)c(F)c1,88,0,-4,,0.974121685,24
TCMDC-133367,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCCN(C)CC1)-c1ccc(CNC(=O)c2cccc(c2)C#N)c(F)c1,99,30,-4,,0.803682227,8
TCMDC-133368,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCCN(C)CC1)-c1ccc(CNC(=O)c2ccc(cc2)C#N)c(F)c1,90,1,-10,,1.13528902,6
TCMDC-133369,OC(=O)C(F)(F)F.COc1ccc(cc1CN1CCCN(C)CC1)-c1ccc(CNC(=O)c2ccc(Cl)cc2)c(F)c1,99,48,-5,,0.705375772,25
TCMDC-133370,OC(=O)C(F)(F)F.CN1CCCN(Cc2cccc(c2)-c2ccc(CNC(=O)c3cccc(Cl)c3)c(F)c2)CC1,96,38,-2,,0.189618027,56
TCMDC-125313,CC(Sc1nc(c(o1)-c1ccccc1)-c1ccccc1)C(=O)NC1CC1,94,91,-2,,0.842772608,13
TCMDC-125312,CC(Sc1nnc(o1)-c1ccccc1F)C(=O)c1c(C)[nH]c2ccccc12,99,99,-2,,0.690980819,24
TCMDC-125311,CC(Oc1ccc(Cl)cc1)C(=O)Nc1cc(ccc1N1CCOCC1)C(F)(F)F,97,97,-6,,0.532044571,14
TCMDC-133371,OC(=O)C(F)(F)F.CC1CN(CC(C)N1)c1cc(=O)n(Cc2ccc(C)c(NC(=O)Nc3ccc(cc3)-c3ccccc3)c2)cn1,96,15,4,,0.851397472,18
TCMDC-133372,OC(=O)C(F)(F)F.CC1CN(CC(C)N1)c1cc(=O)n(Cc2ccc(NC(=O)Nc3ccc(cc3)-c3ccccc3)cc2)cn1,87,20,-1,,0.974105953,0
TCMDC-133373,Cc1ccccc1CNc1noc(n1)-c1c(F)cccc1Cl,97,90,-5,,0.721601633,14
TCMDC-133374,OC(=O)C(F)(F)F.C(N1CCC2(CC1)CN(Cc1ccsc1)Cc1ccccc1O2)c1c[nH]c2cnccc12,87,75,-2,,1.152350389,38
TCMDC-133375,OC(=O)C(F)(F)F.C(C1CC1)N1Cc2ccccc2OC2(CCN(Cc3c[nH]c4cnccc34)CC2)C1,101,14,-1,,0.900293863,30
TCMDC-133376,OC(=O)C(F)(F)F.C(N1CCC2(CC1)CN(Cc1cc3ccccc3[nH]1)Cc1ccccc1O2)c1c[nH]c2cnccc12,101,62,-3,,0.305603189,27
TCMDC-133377,OC(=O)C(F)(F)F.Oc1ccc(CN2Cc3ccccc3OC3(CCN(Cc4c[nH]c5cnccc45)CC3)C2)cc1,101,3,-6,,1.174159494,17
TCMDC-133378,OC(=O)C(F)(F)F.COc1cccc(CN2Cc3ccccc3OC3(CCN(Cc4c[nH]c5cnccc45)CC3)C2)c1,83,83,-3,,1.303581299,39
TCMDC-133379,NC(=O)COc1c(ccc2CCCCc12)C1CCN(CCCCNC(=O)c2ccc(c(O)c2)-c2ccc(Cl)cc2)CC1,101,72,4,,0.705660404,97
TCMDC-133380,OC(=O)C(F)(F)F.C(C1CCOCC1)N1Cc2ccccc2OC2(CCN(Cc3c[nH]c4cnccc34)CC2)C1,99,7,-3,,1.550829993,21
TCMDC-133381,OC(=O)C(F)(F)F.Cc1noc(C)c1CN1Cc2ccccc2OC2(CCN(Cc3c[nH]c4cnccc34)CC2)C1,89,12,-2,,1.066101408,19
TCMDC-133382,OC(=O)C(F)(F)F.NC(=O)c1cccc(CN2Cc3ccccc3OC3(CCN(Cc4c[nH]c5cnccc45)CC3)C2)c1,94,2,-2,,1.055540056,9
TCMDC-133383,CCCNc1nc(NCc2c(C)cccc2C)nc(NC(C)(C)C)n1,91,89,2,,0.862366634,15
TCMDC-133384,COc1ccc(F)cc1-c1ccc(cc1)C(=O)N1CCCN(CC1)c1ccc(cn1)C(F)(F)F,101,100,-3,,0.156656104,4
TCMDC-133385,COc1ccc(F)cc1-c1ccc(cc1)C(=O)N1CCCN(CC1)c1ccc(cn1)C#N,99,100,-2,,0.112245882,9
TCMDC-133386,OC(=O)C(F)(F)F.Oc1ccc(CCNc2nc(NCc3ccccc3-c3ccccc3)nc(n2)N2CCCNCC2)cc1,95,20,-5,,0.877356713,26
TCMDC-133387,OC(=O)C(F)(F)F.Oc1ccc(CCNc2nc(NCc3ccccc3-c3ccc(cc3)C(F)(F)F)nc(NC3CCNCC3)n2)cc1,97,2,4,,0.923803173,12
TCMDC-133388,OC(=O)C(F)(F)F.Oc1ccc(CCNc2nc(NCc3ccccc3-c3ccc(cc3)C(F)(F)F)nc(n2)N2CCCNCC2)cc1,95,2,0,,0.865511428,12
TCMDC-133389,OC(=O)C(F)(F)F.Oc1ccc(CCCNc2nc(NCc3ccccc3-c3ccccc3)nc(NC3CCNCC3)n2)cc1,97,2,6,,0.863509396,-1
TCMDC-133390,OC(=O)C(F)(F)F.NC1CCN(CC1)c1nc(NCCCc2ccc(O)cc2)nc(NCc2ccccc2-c2ccccc2)n1,102,45,4,,0.678,11
TCMDC-133391,OC(=O)C(F)(F)F.Oc1ccc(CCCNc2nc(NCc3ccccc3-c3ccccc3)nc(n2)N2CCNCC2)cc1,94,48,5,,0.712721445,39
TCMDC-133392,OC(=O)C(F)(F)F.Oc1ccc(CCCNc2nc(NCc3cccc4ccccc34)nc(NC3CCNCC3)n2)cc1,91,-3,1,,1.134364107,8
TCMDC-133393,OC(=O)C(F)(F)F.NC1CCN(CC1)c1nc(NCCCc2ccc(O)cc2)nc(NCc2cccc3ccccc23)n1,102,2,6,,0.723884597,12
TCMDC-133394,OC(=O)C(F)(F)F.Oc1ccc(CCCNc2nc(NCc3cccc4ccccc34)nc(n2)N2CCNCC2)cc1,100,4,-1,,0.807560533,9
TCMDC-133395,OC(=O)C(F)(F)F.NC1CCN(CC1)c1nc(NCCCc2ccc(O)cc2)nc(NCc2ccccc2-c2ccc(cc2)C(F)(F)F)n1,101,88,1,,0.726582759,15
TCMDC-125310,Cl.Clc1ccc(Cn2c3CCCc3c(=N)c3CCCCc23)c(Cl)c1,94,73,3,,0.34962089,-5
TCMDC-125653,Br.CCCCCCCCn1c2CCCc2c(=N)c2CCCCc12,101,100,2,,0.109374068,57
TCMDC-125309,Br.CCCCCCCCn1c2CCCc2c(=N)c2CCCc12,99,93,-5,,0.222482859,47
TCMDC-133396,Nc1ncc(-c2ccc3[nH]ccc3c2)c2ccc(cc12)-c1ccncc1,100,100,-6,,0.542453707,42
