Smiles,mol_name,cdk2_ic50,cdk2_inhib,scaffold,sourcepool,cdk_act_bin_1
C1N(C2)CN(C3)CN2CC13\C(c4ccccc4)=N\N=C\c5ccc(cc5)[N+]([O-])=O,mol_3159,None,-4.80,Scaffold_00,divscreen,0
C1N(C2)CN(C3)CN2CC13\C(c4ccccc4)=N\N=C\c5ccccc5OCc6ccccc6F,mol_3160,None,12.00,Scaffold_00,divscreen,0
C1N(C2)CN(C3)C[N+]1(CN23)CC(=O)c4cccc(c4)[N+]([O-])=O,mol_3161,None,10.40,Scaffold_00,divscreen,0
C1N(C2)CN(C3)C[N+]1(CN23)Cc4ccc(cc4)[S](C)(=O)=O,mol_3162,None,11.40,Scaffold_00,divscreen,0
C1N(C=O)CN(C2)CN(C=O)CC12[N+]([O-])=O,mol_3163,None,11.20,Scaffold_00,divscreen,0
C1N(CC#N)CN(CC#N)CN1CC#N,mol_3164,None,2.80,Scaffold_00,divscreen,0
C1N(CC(=O)O)CC(CC)([N+]([O-])=O)CN1CC(=O)O,mol_3165,None,10.80,Scaffold_00,divscreen,0
C1N(CC(C)CC1C)c2ccc(cc2C(=O)O)NC(=O)c3ccc(Cl)cc3,mol_3166,None,5.60,Scaffold_00,divscreen,0
C1N(CC)CN(CC)CN1CC,mol_3167,None,12.30,Scaffold_00,divscreen,0
C1N(CC2(C)C(=O)C13C)C(N(C3)C2)c4c[nH]c5ccc(cc45)[S](=O)(=O)N(C)C,mol_3168,None,15.60,Scaffold_00,divscreen,0
C1N(CC2(C)C(=O)C13C)C(N(C3)C2)c4c[nH]c5ccccc45,mol_3169,None,13.40,Scaffold_00,divscreen,0
C1N(CCCc2cc(O)c(O)cc12)C(=S)NCCc3ccc(Cl)cc3,mol_3170,None,-4.40,Scaffold_00,divscreen,0
C1N(CCN(C2)C3)CC3(C)C(/C12)=N\NC(N)=S,mol_3171,None,10.80,Scaffold_00,divscreen,0
C1N(CCN(C2)C3)CC3(c4ccccc4)C(/C12)=N\N=C\c5ccc6c(c5)OCO6,mol_3172,None,12.80,Scaffold_00,divscreen,0
C1N(CCO)CC(C2(C)C)([N+]([O-])=O)CN(CCO)CC12[N+]([O-])=O,mol_3173,None,20.80,Scaffold_00,divscreen,0
C1N(CCc2c1[nH]c3ccc(F)cc23)CCC\C(c4ccc(F)cc4)=N/OC(=O)Nc5ccccc5c6ccccc6,mol_3174,None,4.00,Scaffold_00,divscreen,0
C1N(CCc2c[nH]c3ccccc23)C(=S)SCN1CCc4c[nH]c5ccccc45,mol_3175,None,-9.90,Scaffold_00,divscreen,0
C1N(CN2CN13)C[N+](C3)(C2)Cc4ccc([o]4)[N+]([O-])=O,mol_3176,None,-2.20,Scaffold_00,divscreen,0
C1N(C[n]2c3ccc(Cl)cc3nn2)CCCN1C[n](nn4)c5ccc(Cl)cc45,mol_3177,None,6.90,Scaffold_00,divscreen,0
C1N(Cc2ccc(Br)cc2)CC(C)(C3)CN(CC13C)C(=S)Nc4ccccc4,mol_3178,None,10.70,Scaffold_00,divscreen,0
C1N(Cc2ccccc2)CCc(c13)c(C#N)c(NCCO)nc3NCc4ccccc4,mol_3179,None,9.50,Scaffold_00,divscreen,0
C1N(Cc2ccccc2)CN(CC1(C#N)C(=O)O)Cc3ccccc3,mol_3180,None,5.20,Scaffold_00,divscreen,0
C1N(Cc2ccccc2)CN(Cc3ccccc3)CC1CN[S](=O)(=O)c4ccc(Cl)cc4,mol_3181,None,-27.10,Scaffold_00,divscreen,0
C1N(Cc2ccccc2)CN(Cc3ccccc3)CC1c4nn[n](n4)C(=O)Nc5ccccc5,mol_3182,None,35.50,Scaffold_00,divscreen,50
C1N(Cc2ccccc2)CN(Cc3ccccc3)CN1Cc4ccccc4,mol_3183,None,21.40,Scaffold_00,divscreen,0
C1N([S](=O)(=O)c2ccc(C)cc2)CC(C)(C(=O)C13C)CN(C3)[S](=O)(=O)c4ccc(C)cc4,mol_3184,None,16.70,Scaffold_00,divscreen,0
C1N([S](=O)(=O)c2ccc(C)cc2)CN(C3)CCN(CC13[N+]([O-])=O)[S](=O)(=O)c4ccc(C)cc4,mol_3185,None,15.10,Scaffold_00,divscreen,0
C1N([S](=O)(=O)c2ccc(C)cc2)CN(C3)CN(CN13)[S](=O)(=O)c4ccc(C)cc4,mol_3186,None,19.40,Scaffold_00,divscreen,0
C1N([S](=O)(=O)c2ccc(C)cc2)CN(C3)CN([S](=O)(=O)c4ccc(C)cc4)CC13C(=O)c5cccc(c5)[N+]([O-])=O,mol_3187,None,-17.60,Scaffold_00,divscreen,0
C1N([S](=O)(=O)c2ccc(C)cc2)CN(C3)CN([S](=O)(=O)c4ccc(C)cc4)CC13C(=O)c5ccccc5,mol_3188,None,16.80,Scaffold_00,divscreen,0
C1N(c2ccc(cc2)OC)Cc3ccc(cc13)C(=O)N\N=C\c4ccc(C(=O)O)cc4,mol_3189,None,39.40,Scaffold_00,divscreen,50
C1N2CCc(c3ccccc3[nH]4)c4[C@@H]2C[C@@H]5C(C(=O)OC)[C@@H](O)CC[C@H]15,mol_3190,None,11.70,Scaffold_00,divscreen,0
C1N2CCc(c3ccccc3[nH]4)c4[C@@H]2C[C@@H]5[C@@H](C(=O)OC)[C@@H](O)CC[C@@H]15,mol_3191,None,5.50,Scaffold_00,divscreen,0
C1N2CCc(c3ccccc3[nH]4)c4[C@@H]2C[C@@H]5[C@H](C(=O)OC)[C@@H](O)CC[C@@H]15,mol_3192,None,13.80,Scaffold_00,divscreen,0
C1N2CCc(c3ccccc3[nH]4)c4[C@@H]2C[C@@H]5[C@H](C(=O)OC)[C@@H](O)CC[C@H]15,mol_3193,None,21.50,Scaffold_00,divscreen,0
C1N2CCc(c3ccccc3[nH]4)c4[C@H]2C[C@H]5[C@@H](C(=O)OC)[C@@H](O)CC[C@@H]15,mol_3194,None,12.60,Scaffold_00,divscreen,0
C1NC(=S)NCN1CCCCCCN(CN2)CNC2=S,mol_3195,None,21.50,Scaffold_00,divscreen,0
C1NC(C([O-])=O)Cc(c12)[nH]cn2,mol_3196,None,15.30,Scaffold_00,divscreen,0
C1NC(N2CCCCC12)c3cc(Br)ccc3O,mol_3197,None,3.40,Scaffold_00,divscreen,0
C1NC(c2c(O)c(Cl)cc(c2)Cl)N3CCCCC13,mol_3198,None,-5.50,Scaffold_00,divscreen,0
C1NCCc(c12)c3ccccc3[nH]2,mol_3199,None,-2.50,Scaffold_00,divscreen,0
C1NN(c2cccnc2)\N=C([N+]([O-])=O)/c3ccccc13,mol_3200,None,6.60,Scaffold_00,divscreen,0
C1OC(N23)c4ccccc4C3OCC12COC(=O)c5ccc(Cl)cc5,mol_3201,None,9.80,Scaffold_00,divscreen,0
C1OC(c2ccc(Cl)cc2)OCC13C(=O)C4(CC3)COC(OC4)c5ccc(Cl)cc5,mol_3202,None,2.40,Scaffold_00,divscreen,0
C1OC(c2ccc(O)c(c2)OC)OCC13C(=O)C4(CC3)COC(OC4)c5ccc(O)c(c5)OC,mol_3203,None,28.20,Scaffold_00,divscreen,0
C1OC(c2ccc(cc2)[N+]([O-])=O)N3C(OCC13CO)c4ccc(cc4)[N+]([O-])=O,mol_3204,None,23.90,Scaffold_00,divscreen,0
C1OCOc2c(cc(Cl)cc12)COc3ccc(cc3)[S](=O)(=O)c4ccc(cc4)OCc5cc(Cl)cc6c5OCOC6,mol_3205,None,25.30,Scaffold_00,divscreen,0
C1OCOc2c(cc(Cl)cc12)CSc3nccc(n3)O,mol_3206,None,24.60,Scaffold_00,divscreen,0
C1OCOc2c(cc(F)cc12)CO/N=C(N)/c3cc(Cl)c(N)c(c3)Cl,mol_3207,None,20.80,Scaffold_00,divscreen,0
C1OCOc2cc(c(I)cc12)CCN3CCc4cc(OC)c(cc34)OCc5ccccc5,mol_3208,None,5.50,Scaffold_00,divscreen,0
C1SC(/O)=N\N=C/1N\C2=N\N=C/CS2,mol_3209,None,7.70,Scaffold_00,divscreen,0
C1[C@@H](C(=O)O)NC(S1)c2ccc[s]2,mol_3210,None,32.40,Scaffold_00,divscreen,50
C1[C@@H](C(=O)O)NC(S1)c2ccncc2,mol_3211,None,7.70,Scaffold_00,divscreen,0
C1[C@@H](C2(C)O)C[C@H](C3)C[C@@H]2C[C@@H]13,mol_3212,None,31.10,Scaffold_00,divscreen,50
C1[C@@H](C2)C[C@@](C3)(C(=O)N4CCOCC4)C[C@@H]2C[C@@]13C(=O)N5CCOCC5,mol_3213,None,2.00,Scaffold_00,divscreen,0
C1[C@@H](C2)C[C@@](C3)(C(=O)O)C[C@@H]2C[C@@]13C(=O)O,mol_3214,None,18.90,Scaffold_00,divscreen,0
C1[C@@H](C2)C[C@@](C3)(Cl)C[C@@H]2C[C@@]13CCC(=O)O,mol_3215,None,30.50,Scaffold_00,divscreen,50
C1[C@@H](C2)C[C@@](C3)(c4ccc(O)cc4)C[C@@H]2C[C@@]13c5ccc(O)cc5,mol_3216,None,11.70,Scaffold_00,divscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13CC(=O)N\C4=N\CCS4,mol_3217,None,14.70,Scaffold_00,divscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13OC(=O)NN,mol_3218,None,12.10,Scaffold_00,divscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13\C4=C\C(=O)[n]5c(N4)c(cn5)c6ccc(cc6)OC,mol_3219,None,29.36,Scaffold_10,synscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13\C4=C\C(=O)[n]5c(N4)cc(n5)c6ccc[o]6,mol_3220,None,9.45,Scaffold_10,synscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13c4c[n]5cc(Br)ccc5n4,mol_3221,None,25.67,Scaffold_00,simscreen,0
C1[C@@H](C2)C[C@H](C3)C[C@@H]2C[C@@]13c4cc(C(=O)O)c5ccccc5n4,mol_3222,None,18.40,Scaffold_00,divscreen,0
C1[C@@H](CC[C@@H]12)C(C)(C)C2(C)NC,mol_3223,None,18.80,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@@H](C2)C(N3)=O,mol_3224,None,11.20,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)C(=O)NC(C(=O)O)Cc4c[nH]c5ccccc45,mol_3225,None,21.80,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)C(=O)NNC(=O)c4cc[n+](C(C)C)cc4,mol_3226,None,10.40,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)CCNC(=O)C(F)(F)F,mol_3227,None,4.90,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)NC(C)=O,mol_3228,None,28.20,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)N[S](=O)(=O)c4ccc(cc4)N[S](=O)(=O)c5ccc(cc5)NC(C)=O,mol_3229,None,-0.80,Scaffold_00,divscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)\C4=C\C(=O)[n]5c(N4)c6c(n5)/N=C(/C)NC6=O,mol_3230,None,20.28,Scaffold_10,synscreen,0
C1[C@@H](C[C@H]2C[C@@H]13)C[C@](C3)(C2)\C4=C\C(=O)[n]5c(N4)c6c(n5)NC(=O)NC6=O,mol_3231,None,16.57,Scaffold_10,synscreen,0
C1[C@@H](N(CC[C@@H]12)C[C@H]2CC)[C@@H](OC(=O)c3ccc(Cl)cc3)c4ccnc5ccc(cc45)OC,mol_3232,None,11.60,Scaffold_00,divscreen,0
C1[C@@H](O)CC[C@]2(C)[C@H]([C@H]3CC[C@@H]12)CC[C@@]4(C)[C@H]3CC[C@@H]4C(=O)O,mol_3233,None,-0.70,Scaffold_00,divscreen,0
C1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(=O)NCC([O-])=O)[C@@]3(C)CC[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14,mol_3234,None,26.90,Scaffold_00,divscreen,0
C1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(=O)NCC[S]([O-])(=O)=O)[C@@]3(C)[C@@H](O)C[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14,mol_3235,None,12.30,Scaffold_00,divscreen,0
C1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC([O-])=O)[C@@]3(C)CC[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14,mol_3236,None,18.80,Scaffold_00,divscreen,0
C1[C@@H](c2ccccc2)[C@@H]1N(C3=O)C(=O)Nc(c34)[nH]cc4c5ccccc5,mol_3237,None,32.68,Scaffold_12,synscreen,50
C1[C@@](C)(CC[C@@H]12)C(C2)OC(=O)c3ccccc3C(=O)O,mol_3238,None,11.20,Scaffold_00,divscreen,0
C1[C@H](/C=C\[C@H]12)C(C(=O)O)C2C(=O)Nc3cc(C)[o]n3,mol_3239,None,-1.50,Scaffold_00,divscreen,0
C1[C@H](/C=C\[C@H]12)C(C(=O)O)C2C(=O)Nc3ccccc3Oc4ccc(Cl)cc4Cl,mol_3240,None,18.70,Scaffold_00,divscreen,0
C1[C@H](/C=C\[C@H]12)C(C2C(=O)O)C(=O)Nc3ccccn3,mol_3241,None,13.50,Scaffold_00,divscreen,0
C1[C@H](CCN1Cc2ccccc2)Nc3ccnc(n3)NCCCOC,mol_3242,None,None,Scaffold_05,synscreen,50
C1[C@H](C[C@H](C2)C[C@@H]3C[C@@H]12)C3(C)CC(=O)Nc4ccc(cc4)NC(C)=O,mol_3243,None,16.00,Scaffold_00,divscreen,0
C1[C@H](N(CC[C@@H]12)C[C@@H]2CC)[C@H](OC(=O)c3ccc(Cl)cc3)c4ccnc5ccc(cc45)OC,mol_3244,None,15.60,Scaffold_00,divscreen,0
C1[C@H](O)CC[C@]2(C)[C@H]([C@H]3CC[C@@H]12)CC[C@]4(C)C(=O)CC[C@@H]34,mol_3245,None,18.90,Scaffold_00,divscreen,0
C1[C@H](O)CC[C@]2(C)[C@H]([C@H]3CC[C@@H]12)CC[C@]4(C)[C@@H](C(C)=O)CC[C@@H]34,mol_3246,None,6.90,Scaffold_00,divscreen,0
C1[C@H](O)CC[C@]2(C)[C@H]([C@H]3CC[C@H]12)C[C@H](O)[C@]4(C)[C@H](CC[C@@H]34)[C@H](C)CCC([O-])=O,mol_3247,None,17.20,Scaffold_00,divscreen,0
C1[C@H](O)CC[C@]2(C)[C@H]([C@H]3CC[C@H]12)[C@@H](O)C[C@@]4(C)[C@H]3CC[C@]4(O)[C@@H](C)O,mol_3248,None,12.50,Scaffold_00,divscreen,0
C1[C@H](O)[C@@H](CO)O[C@@H]1Nc2ccc(cc2)c3ccc(cc3)N[C@H]4C[C@@H](O)[C@@H](O4)CO,mol_3249,None,21.20,Scaffold_00,divscreen,0
C1[C@H](O)[C@@H](c2ccccc12)NC(c3ccc([o]3)C(=O)O)c4ccc5cccnc5c4O,mol_3250,None,28.77,Scaffold_06,synscreen,0
C1[C@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC([O-])=O)[C@@]3(C)CC[C@@H]2[C@@]4(C)CC[C@@H](O)C[C@@H]14,mol_3251,None,19.40,Scaffold_00,divscreen,0
C1[C@H](OC(=O)c2ccccc2)CC[C@]3(C)[C@H]([C@H]4CC[C@H]13)CC(=O)[C@@]5(C)[C@H]4CC[C@@H]5[C@H](C)CCC(=O)OC,mol_3252,None,18.60,Scaffold_00,divscreen,0
C1[C@H]([C@H]1Cl)c2ccc(cc2)C(=O)OC,mol_3253,None,14.10,Scaffold_00,divscreen,0
C1[C@H](c2ccccc2)[C@H]1[n]3cncc3c4c[nH]nc4c5ccccc5,mol_3254,None,11.42,Scaffold_01,synscreen,0
C1[C@H](c2ccccc2)[C@H]1[n]3cncc3c4c[n](c5ccccc45)Cc6ccccc6,mol_3255,None,3.26,Scaffold_01,synscreen,0
C1[N+]2(CCCCC2)Cc3c1cc4ccccc4c3c(cc5)ccc5c(c6C7)c8ccccc8cc6C[N+]79CCCCC9,mol_3256,None,19.70,Scaffold_00,divscreen,0
C1[S](=O)(=O)CC(NCc2ccccc2)C1NCc3ccccc3,mol_3257,None,17.70,Scaffold_00,divscreen,0
C1[S](=O)(=O)CC([S]([O-])(=O)=O)C1[S](=O)(=O)c2ccccc2,mol_3258,None,14.20,Scaffold_00,divscreen,0
C1[S](=O)(=O)Cc(c(C(=O)OCC)cc2C(=O)OCC)cc2C[S](=O)(=O)Cc(cc13)cc(c3)OC,mol_3259,None,21.90,Scaffold_00,divscreen,0
C1\C(C(C2(C)C)(CCC12)C[S](=O)(=O)N3CCOCC3)=N/OC(=O)Nc4ccc(Cl)c(c4)Cl,mol_3260,None,-60.50,Scaffold_00,divscreen,0
C1c(c2ccccc2[nH]3)c3C(c4cc([N+]([O-])=O)ccc4O)N5C(=O)N(C(C15)=O)CCCC,mol_3261,None,9.10,Scaffold_00,divscreen,0
C1c2cc([S](=O)(=O)NC(C(=O)O)Cc3ccccc3)ccc2c4ccc(cc14)[S](=O)(=O)NC(C(=O)O)Cc5ccccc5,mol_3262,None,27.90,Scaffold_00,divscreen,0
C1c2cc([S](=O)(=O)NCC(=O)O)ccc2c3ccc(cc13)[S](=O)(=O)NCC(=O)O,mol_3263,None,22.40,Scaffold_00,divscreen,0
C1c2cc(ccc2c3ccccc13)NC(=O)CCCC(=O)Nc4ccc5c(c4)Cc6ccccc56,mol_3264,None,19.60,Scaffold_00,divscreen,0
C1c2ccc(NC(=O)CCC(=O)O)cc2c3cc(ccc13)NC(=O)CCC(=O)O,mol_3265,None,2.30,Scaffold_00,divscreen,0
C1c2ccccc2c3cc(ccc13)[S](=O)(=O)Nc4ccc(cc4)[S](=O)(=O)NC(=N)N,mol_3266,None,8.80,Scaffold_00,divscreen,0
C=C(C([O-])=O)C(O)CCCCOc1ccc(Cl)cc1,mol_3267,None,17.00,Scaffold_00,divscreen,0
C=C(C)CC(C1=O)(CC)C(=O)N\C(=N/1)S,mol_3268,None,26.80,Scaffold_00,divscreen,0
C=C(C)CN(CC1)CCN1c([n]2c3ccccc34)c(c(C)c(C#N)c2n4)Cc5ccccc5,mol_3269,None,30.60,Scaffold_00,divscreen,50
C=C(C)CNC(=S)NNC(=O)CSc(nnc1c(cc2)ccc2)[n]1c3ccccc3,mol_3270,None,15.80,Scaffold_00,divscreen,0
C=C(C)C[n]1c(S)nnc1CSc2nnc([n]2c(c3)cccc3)c4ccc(OC)c(c4)OC,mol_3271,None,33.60,Scaffold_00,divscreen,50
C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O,mol_3272,None,21.40,Scaffold_00,divscreen,0
C=C(C1)[C@](C2)(O)CC[C@H]([C@]123)[C@]45/C=C\[C@H](O)[C@@](C)(C(=O)O5)[C@H]4[C@@H]3C(=O)O,mol_3273,None,16.70,Scaffold_00,divscreen,0
C=C(C1)[C@](O)(C(C)=O)[C@](C)([C@@H]1[C@@H]2C/C=C\34)CC[C@@H]2[C@@]3(C)CC[C@@H](C4)OC(C)=O,mol_3274,None,11.90,Scaffold_00,divscreen,0
C=C(C12CCCCC1)SC(/N2)=N\c3c(OC)cc(Cl)c(c3)OC,mol_3275,None,16.50,Scaffold_00,divscreen,0
C=C(CC(C)(C)C)CC(C([O-])=O)CC(=O)OCC(O)CO,mol_3276,None,30.00,Scaffold_00,divscreen,0
C=C([C@@H](C)[C@H]1[C@@H](NC([C@]123)=O)Cc4ccccc4)[C@@H](O)[C@@H]2/C=C/C[C@H](C)C(=O)[C@](C)(O)/C=C/[C@H]3OC(C)=O,mol_3277,None,14.20,Scaffold_00,divscreen,0
C=C([C@@H](C)[C@H]1[C@@H](NC([C@]123)=O)Cc4ccccc4)[C@@H](O)[C@@H]2\C=C\C[C@H](C)CCCC(=O)\C=C\C(=O)O3,mol_3278,None,-0.60,Scaffold_00,divscreen,0
C=C(c1ccccc12)c3ccccc3C(/C2)=N\OC(=O)N[S](=O)(=O)c4ccc(C)cc4,mol_3279,None,-21.60,Scaffold_00,divscreen,0
C=C1C(C)(C)N(C(=O)C(C2CCCC2)c3ccccc3)\C(S1)=N\c4cccc(c4)OC,mol_3280,None,-11.10,Scaffold_00,divscreen,0
C=C1C(C)(C)N\C(S1)=N\c2cccc(Cl)c2C,mol_3281,None,9.90,Scaffold_00,divscreen,0
C=CC(O)CSCCN(CC)CC,mol_3282,None,2.80,Scaffold_00,divscreen,0
C=CCC(=C(/C)N1)\C(=O)[n]2nc(cc12)c3ccc[o]3,mol_3283,None,14.00,Scaffold_10,simscreen,0
C=CCC(O)(CC=C)c(cc1c(c2)cccc2)cc(n1)c3ccccc3,mol_3284,None,-40.60,Scaffold_00,divscreen,0
C=CCC\C(N1)=C\C(=O)[n](n2)c1c(c23)C(=O)NC(/C)=N\3,mol_3285,None,8.57,Scaffold_10,synscreen,0
C=CCC\C(N1)=C\C(=O)[n](n2)c1c(c23)C(=O)NC(N3)=O,mol_3286,None,30.29,Scaffold_10,synscreen,50
C=CCC\C(N1)=C\C(=O)[n]2nc(cc12)c3ccc[o]3,mol_3287,None,4.48,Scaffold_10,synscreen,0
C=CCCc(n1)c(NC(C)C)[n]2ccncc12,mol_3288,None,0.25,Scaffold_21,synscreen,0
C=CCCc(n1)c(NCCCC)[n]2ccccc12,mol_3289,None,0.00,Scaffold_21,synscreen,0
C=CCCc(n1)c([n]2c(Cl)ncc(c12)C#N)NCc3ccccc3,mol_3290,None,6.22,Scaffold_21,synscreen,0
C=CCCc(n1)c([n]2cc(C(N)=O)ccc12)NCCN3CCOCC3,mol_3291,None,0.09,Scaffold_21,synscreen,0
C=CCCc(n1)c([n]2cnc(O)c(c12)N)NCc3ccccc3,mol_3292,None,3.02,Scaffold_21,synscreen,0
C=CCCc(nc12)c(NCCCC)[n]2cccn1,mol_3293,None,0.04,Scaffold_21,synscreen,0
C=CCN(C(=O)C(S1)CC(=O)O)\C1=N\NC(=O)c2ccc(C)cc2,mol_3294,None,9.80,Scaffold_00,divscreen,0
C=CCN(C(=O)c(c12)c3c([s]2)CCCC3)\C(=N/1)SCC(=O)c4ccc(cc4)OC,mol_3295,None,5.80,Scaffold_00,divscreen,0
C=CCN(C(=O)c1c2[s]c(c13)CCCC3)\C(=N/2)SCC(=O)Nc4ccc(C)cc4C,mol_3296,None,20.80,Scaffold_00,divscreen,0
C=CCN(C(=O)c1c2[s]c(c13)CCCC3)\C(=N/2)SCC(=O)Nc4ccc5c(c4)OCCO5,mol_3297,None,30.60,Scaffold_00,divscreen,50
C=CCN(C(=O)c1c2[s]c(c13)CCCC3)\C(=N/2)SCC[S](=O)(=O)Oc4ccccc4,mol_3298,None,6.80,Scaffold_00,divscreen,0
C=CCN(C(C)(C)N1)C(C)(C)C1=S,mol_3299,None,9.30,Scaffold_00,divscreen,0
C=CCN(C1)COc(c1ccc23)c2[s]c(C(=O)OCC)c3NC(=O)c4ccccc4,mol_3300,None,29.30,Scaffold_00,divscreen,0
C=CCN(C1=O)\C(=N/c(c12)[s]c3c2CCCC3)SCC(=O)Nc4ccc(cc4)c5ccccc5,mol_3301,None,11.50,Scaffold_00,divscreen,0
C=CCN(C1=O)\C(SCC(=O)O)=N/c(c1c23)[s]c3COC(C)(C)C2,mol_3302,None,21.00,Scaffold_00,divscreen,0
C=CCN(C1=O)\C([S-])=N/c2[s]c(C)c(C)c12,mol_3303,None,0.80,Scaffold_00,divscreen,0
C=CCN(C1=S)C(=N\N1)/c2cc([S](N)(=O)=O)ccc2OC,mol_3304,None,4.90,Scaffold_00,divscreen,0
C=CCN(C1=S)C(=N\N1)/c2ccc(cc2)[S](N)(=O)=O,mol_3305,None,2.30,Scaffold_00,divscreen,0
C=CCN(CC1c2ccccc2)CCc3c(Cl)c(O)c(O)cc13,mol_3306,None,14.10,Scaffold_00,divscreen,0
C=CCN(CC=C)CC(=O)Nc(cc1)ccc1c([o]2)nc3cc(ccc23)NC(=O)CN(CC=C)CC=C,mol_3307,None,-0.90,Scaffold_00,divscreen,0
C=CCN(CC=C)Cc1c(O)ccc2c(c(O)ccc12)CN(CC=C)CC=C,mol_3308,None,22.30,Scaffold_00,divscreen,0
C=CCN(CC=C)c1[nH]nnn1,mol_3309,None,-0.10,Scaffold_00,divscreen,0
C=CCN(CC[C@@]123)[C@H]4[C@]1(O)CCC(/[C@@H]2Oc5c3c(C4)ccc5O)=N\N=C6\[C@H]7[C@@]89CCN(CC=C)[C@@H]([C@]8(O)CC6)Cc1ccc(O)c(c19)O7,mol_3310,None,3.60,Scaffold_00,divscreen,0
C=CCN(CC[C@]123)[C@H]4[C@]2(O)CCC(=O)[C@@H]1Oc5c(O)ccc(C4)c35,mol_3311,None,24.50,Scaffold_00,divscreen,0
C=CCN(C[C@@H]1c2ccccc2)CCc3c(Br)c(O)c(O)cc13,mol_3312,None,8.60,Scaffold_00,divscreen,0
C=CCN([S](=O)(=O)c(c(C)c1)ccc1)c2ccccc2C(=O)NCC(=O)O,mol_3313,None,20.50,Scaffold_00,divscreen,0
C=CCN([S](=O)(=O)c1ccc(C)cc1)c(ccc2)c(c2)C(=O)NCC(=O)OCC,mol_3314,None,18.60,Scaffold_00,divscreen,0
C=CCN([S](=O)(=O)c1ccc(Cl)cc1)c(c2)c(ccc2)C(=O)NCC(=O)OCC,mol_3315,None,4.00,Scaffold_00,simscreen,0
C=CCN(\C(=N/1)SCC(=O)O)C(=O)c2c1[s]c(c23)CCC(C3)C,mol_3316,None,32.40,Scaffold_00,divscreen,50
C=CCN(\C1=N\c2ccc(Cl)cc2)C(=O)C(S1)CC(=O)NCc3ccccc3,mol_3317,None,20.30,Scaffold_00,divscreen,0
C=CCN(c(c1)c(ccc1)C(=O)NCC(=O)O)[S](=O)(=O)c2cccc(C)c2,mol_3318,None,20.40,Scaffold_00,divscreen,0
C=CCN1C(=O)N(C(=O)c(c12)cc(C#N)c(C)n2)Cc3ccc(cc3)OC,mol_3319,None,18.61,Scaffold_12,synscreen,0
C=CCN1C(=O)\C(c2ccccc12)=N/NC(=O)C(=O)Nc3ccccc3C(=O)O,mol_3320,None,25.20,Scaffold_00,divscreen,0
C=CCN1C(=S)N(/N=C1/c2ccc[o]2)CN3CCN(CC3)c4ccccc4,mol_3321,None,16.30,Scaffold_00,divscreen,0
C=CCN1C(=S)N/N=C1/CSc2cc(C)nc(n2)SCCCC,mol_3322,None,18.80,Scaffold_00,divscreen,0
C=CCN1CC[C@@](C)([C@H](C)[C@@H]12)c3cc(O)ccc3C2,mol_3323,None,19.90,Scaffold_00,divscreen,0
C=CCN1CCc(c23)cccc3c4c(O)c(O)ccc4C[C@@H]12,mol_3324,None,0.60,Scaffold_00,divscreen,0
C=CCN1\C(=N\C(C)=O)SC2C[S](=O)(=O)CC12,mol_3325,None,21.50,Scaffold_00,divscreen,0
C=CCNC(=O)C1CCC(C)(C(=O)O)C1(C)C,mol_3326,None,21.30,Scaffold_00,divscreen,0
C=CCNC(=O)CC(=O)N\N=C\c(cc1OCC)ccc1OCc2ccc(Cl)cc2,mol_3327,None,23.80,Scaffold_00,divscreen,0
C=CCNC(=O)CC(=O)N\N=C\c1ccc(C(=O)O)cc1,mol_3328,None,20.10,Scaffold_00,divscreen,0
C=CCNC(=O)CCCCC(=O)N\N=C\c(c1)c(O)ccc1,mol_3329,None,22.60,Scaffold_00,divscreen,0
C=CCNC(=O)CCCCC(=O)N\N=C\c(cc1)[s]c1,mol_3330,None,11.00,Scaffold_00,divscreen,0
