Chemical name,Crystal structure CSD refcode,LogS exp (mol/L),Reference,Test,SMILES,Smiles Source,Chemspider reference number,InChl
Clozapine,NDNHCL01,-3.24,1,TRUE,CN1CCN(CC1)C2=Nc3cc(ccc3Nc4c2cccc4)Cl,ChemSpider,4481822,"InChI=1S/C19H21NO3/c1-20-9-8-19-12-5-7-15(22-3)18(19)23-17-14(21-2)6-4-11(16(17)19)10-13(12)20/h4-7,13,18H,8-10H2,1-3H3/t13-,18+,19+/m1/s1"
Norethisterone,NETIND01,-4.63,2,TRUE,O=C4\C=C3/[C@@H]([C@H]2CC[C@]1([C@@H](CC[C@]1(C#C)O)[C@@H]2CC3)C)CC4,ChemSpider,8816,InChI=1S/C18H12/c1-2-8-14-13(7-1)15-9-3-4-11-17(15)18-12-6-5-10-16(14)18/h1-12H
Nicotinic acid,NICOAC02,-0.85,2,TRUE,c1cc(cnc1)C(=O)O,ChemSpider,1141,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
Perphenazine,PERPAZ,-4.16,2,TRUE,Clc2cc1N(c3c(Sc1cc2)cccc3)CCCN4CCN(CCO)CC4,ChemSpider,1142,"InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)"
Pteridine,PTERID11,0.02,7,TRUE,n1c2c(ncc1)ncnc2,ChemSpider,10194105,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?"
Salicylamide,SALMID07,-1.84,2,TRUE,O=C(c1ccccc1O)N,ChemSpider,9130,"InChI=1S/C9H10Cl2N2O2/c1-13(15-2)9(14)12-6-3-4-7(10)8(11)5-6/h3-5H,1-2H3,(H,12,14)"
Sulfanilamide,SULAMD01,-1.36,2,TRUE,O=S(=O)(c1ccc(N)cc1)N,ChemSpider,3904,"InChI=1S/C15H15NO2/c1-10-6-5-9-13(11(10)2)16-14-8-4-3-7-12(14)15(17)18/h3-9,16H,1-2H3,(H,17,18)"
Gliclazide,SUVGUL,-4.29,4,TRUE,O=S(=O)(c1ccc(cc1)C)NC(=O)NN3CC2CCCC2C3,ChemSpider,49889,"InChI=1S/C29H35NO2/c1-5-15-29(32)16-14-26-24-12-8-20-17-22(31)11-13-23(20)27(24)25(18-28(26,29)2)19-6-9-21(10-7-19)30(3)4/h6-7,9-10,17,24-26,32H,8,11-14,16,18H2,1-4H3/t24-,25+,26-,28-,29-/m0/s1"
Trihexyphenidyl,THEXPL,-5.20,9,TRUE,OC(c1ccccc1)(CCN2CCCCC2)C3CCCCC3,ChemSpider,5304,"InChI=1S/C12H18N2O3S/c1-3-4-9-13-12(15)14-18(16,17)11-7-5-10(2)6-8-11/h5-8H,3-4,9H2,1-2H3,(H2,13,14,15)"
Triphenylene,TRIPHE11,-6.73,2,TRUE,c1ccc2c(c1)c3ccccc3c4c2cccc4,ChemSpider,4447447,"InChI=1S/C18H21NO3/c1-19-8-7-18-11-4-5-13(20)17(18)22-16-14(21-2)6-3-10(15(16)18)9-12(11)19/h3-6,11-13,17,20H,7-9H2,1-2H3/t11-,12+,13-,17-,18-/m0/s1"
Mifepristone,ZIDLED,-5.90,9,TRUE,O=C5\C=C4/C(=C3/[C@@H](c1ccc(N(C)C)cc1)C[C@]2([C@@H](CC[C@]2(C#CC)O)[C@@H]3CC4)C)CC5,ChemSpider,389877,"InChI=1S/C21H22N2O2/c24-18-10-16-19-13-9-17-21(6-7-22(17)11-12(13)5-8-25-16)14-3-1-2-4-15(14)23(18)20(19)21/h1-5,13,16-17,19-20H,6-11H2/t13-,16-,17-,19-,20-,21+/m0/s1"
